trade_month,industry,ret,n_stocks
2020-05,801180.SI,-0.02205375633394735,130
2020-05,801200.SI,0.06881689327982654,96
2020-05,801210.SI,0.0730566225983651,34
2020-05,801230.SI,0.01638290304876766,34
2020-05,801710.SI,-0.014251202327821177,67
2020-05,801720.SI,-0.0382657737148393,128
2020-05,801730.SI,-0.00269263232620387,195
2020-05,801740.SI,0.006005564111631889,68
2020-05,801750.SI,-0.016779036035192485,212
2020-05,801760.SI,0.03315760591180572,167
2020-05,801770.SI,-0.05319846015722207,100
2020-05,801780.SI,-0.016702748872840956,36
2020-05,801790.SI,-0.044634633911600274,79
2020-05,801880.SI,0.003706595374320054,177
2020-05,801890.SI,0.022543289253573295,335
2020-05,801950.SI,0.00912182239824988,38
2020-05,801960.SI,-0.04460708596965979,45
2020-05,801970.SI,-0.014773257081566182,77
2020-05,801980.SI,0.17554177636006618,16
2020-06,801010.SI,0.07803886286646122,86
2020-06,801030.SI,0.0817559243861592,306
2020-06,801040.SI,0.03579437427011012,33
2020-06,801050.SI,0.05115928572643247,118
2020-06,801080.SI,0.21165875381687194,250
2020-06,801110.SI,0.05090152371274992,59
2020-06,801120.SI,0.09888537377515938,96
2020-06,801130.SI,0.05157227234813666,81
2020-06,801140.SI,0.04034875843637442,128
2020-06,801150.SI,0.18133148627131068,306
2020-06,801160.SI,0.039282826014534145,100
2020-06,801170.SI,0.04025976311169921,116
2020-06,801180.SI,0.06252271468653303,130
2020-06,801200.SI,0.1136400217196929,97
2020-06,801210.SI,0.2965383223500915,34
2020-06,801230.SI,0.07705047437482127,33
2020-06,801710.SI,-0.001343142953213583,67
2020-06,801720.SI,-0.0019144665284985818,129
2020-06,801730.SI,0.11941207814835031,196
2020-06,801740.SI,0.03316710193982075,69
2020-06,801750.SI,0.12845599653755313,213
2020-06,801760.SI,0.1619125826479868,168
2020-06,801770.SI,0.08322171572385173,100
2020-06,801780.SI,0.005683143178574435,36
2020-06,801790.SI,0.07291042092583488,81
2020-06,801880.SI,0.07385569195929365,178
2020-06,801890.SI,0.07697012539161396,339
2020-06,801950.SI,0.0010618666684261147,38
2020-06,801960.SI,0.009799263183837281,46
2020-06,801970.SI,0.021606360122957247,78
2020-06,801980.SI,0.15120676619178686,16
2020-07,801010.SI,0.1947101005963423,84
2020-07,801030.SI,0.23371253434490047,307
2020-07,801040.SI,0.06662817875467031,33
2020-07,801050.SI,0.22952572652972636,118
2020-07,801080.SI,0.13092956112087273,253
2020-07,801110.SI,0.12786630404259025,60
2020-07,801120.SI,0.18526028817831697,96
2020-07,801130.SI,0.07338360165295366,82
2020-07,801140.SI,0.19055647945938303,127
2020-07,801150.SI,0.17052667876954808,309
2020-07,801160.SI,0.0946502973509038,101
2020-07,801170.SI,0.12968944596283416,116
2020-07,801180.SI,0.11315056437993709,130
2020-07,801200.SI,0.15729492739015294,96
2020-07,801210.SI,0.47475638710592083,35
2020-07,801230.SI,0.15095412834216249,33
2020-07,801710.SI,0.24991967823344718,67
2020-07,801720.SI,0.1175819348405418,129
2020-07,801730.SI,0.23017170127362285,199
2020-07,801740.SI,0.30340966147471926,69
2020-07,801750.SI,0.08281401102312835,215
2020-07,801760.SI,0.08860937225914345,169
2020-07,801770.SI,0.04501444685353184,99
2020-07,801780.SI,0.027717835175774752,36
2020-07,801790.SI,0.20713827876268387,83
2020-07,801880.SI,0.17355984406829394,176
2020-07,801890.SI,0.15194067296610814,340
2020-07,801950.SI,0.12814206303230868,38
